pos	sem	tok
PROPN AUX ADJ SCONJ PROPN	GPE NOW MOR REL GPE	Tokyo is groter als Rome
PROPN VERB DET NOUN PUNCT	PER ENS NOT CON NIL	Tom heeft geen creditcard .
PRON VERB ADP NOUN PUNCT	NOT ENS REL CON NIL	Niemand houdt van oorlog .
PROPN AUX ADP DET NOUN VERB PUNCT	PER PST REL DEF ROL EXS NIL	Karel~de~Grote werd door de paus gekroond .
PRON AUX ADJ ADJ ADP PRON PUNCT	PRO PST INT IST REL PRO NIL	Ze waren erg aardig voor me .
NOUN AUX VERB ADP NOUN ADP PROPN PUNCT	PER PST EXS REL CON REL GPE NIL	Saad~Hariri werd verkozen tot minister-president van Libanon .
AUX PRON ADV ADJ PUNCT	NOW PRO NOT IST QUE	Ben je niet moe ?
ADV VERB DET NOUN PUNCT	QUE ENS DEF CON QUE	Waar is het toilet ?
PRON AUX ADV ADV ADJ PUNCT	PRO NOW EMP NOT IST NIL	Ik ben helemaal niet moe .
AUX PRON PRON NOUN PUNCT	ENS PRX HAS CON QUE	Is dit uw boek ?
NOUN ADJ VERB DET PROPN DET NOUN PUNCT	ROL PER ENS AND DOW DIS CON NIL	Mevrouw Klein geeft elke vrijdag een test .
PRON NOUN AUX ADJ PUNCT	HAS ROL NOW IST NIL	Mijn zuster is beroemd .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Ik ben getrouwd .
DET NOUN AUX ADJ NOUN PUNCT	DEF CON PST IST CON NIL	De kamer was propvol mensen .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC ROL NIL	Ik heb twee nichtjes .
PRON NOUN AUX ADJ PUNCT	HAS ROL NOW GPO NIL	Zijn vriendin is Japans .
PRON VERB ADJ VERB PUNCT	PRO ENS GPE EXS NIL	Ik wil Korea bezoeken .
PRON AUX ADJ SCONJ PRON PUNCT	PRO NOW MOR REL PRO NIL	Ik ben groter dan hij .
PROPN AUX ADJ ADJ ADP PROPN PUNCT	PER PST INT IST REL PER NIL	Tom was heel boos op Mary .
PROPN CCONJ PROPN VERB NOUN PUNCT	PER GRP PER ENS CON NIL	Tom en Mary spelen tikkertje .
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	De deur is dicht .
PROPN VERB ADP DET NOUN PUNCT	PER EPS REL DIS CON NIL	Tom zat op een boomstam .
DET NOUN AUX VERB PUNCT	DEF CON NOW IST NIL	Het vlees is bevroren .
PROPN AUX ADJ ADJ PUNCT	PER PST INT IST NIL	Tom was heel behulpzaam .
PRON AUX ADJ PUNCT	PRO NOW CLO NIL	Het is vijf~voor~zes .
PRON AUX DET NOUN PUNCT	PRO EPS NOT CON NIL	Het was geen grap .
PRON AUX DET NOUN PUNCT	PRO ENS DIS ROL NIL	Je bent een schurk .
PROPN VERB NUM NOUN PUNCT	PER EPS QUC ROL NIL	Cristiani vermoordde zes jezuïeten .
NOUN ADJ ADP DET PROPN PUNCT	PER ENS REL DEF GPE NIL	Saddam~Hoessein vlucht naar de VS .
PROPN VERB DET PROPN PUNCT	PER ENS DEF ORG NIL	Castro bezoekt de VN .
PRON AUX PRON VERB ADP NUM NOUN PUNCT	PRO NOW PRO EXT REL QUC UOM NIL	Ik heb het gekocht voor tien dollar .
PRON AUX ADJ ADP NOUN PUNCT	PRO NOW IST REL CON NIL	Ik ben dol op auto's .
PRON VERB ADP DET NOUN PUNCT	PRO EPS REL DIS ROL NIL	Hij trouwde met een stewardess .
PRON VERB ADP DET NOUN PUNCT	DIS ENS REL DEF CON NIL	Iemand klopt op de deur .
DET NOUN AUX ADP DET NOUN VERB PUNCT	DEF CON PST REL DEF CON EXS NIL	De kist werd in de lijkwagen geladen .
DET NOUN VERB PUNCT	DEF CON EPS NIL	Het huis stonk .
NUM NOUN ADV AUX PRON DET NOUN VERB PUNCT	QUC UOM PST NOW PRO PRX CON EXT NIL	Vier jaar geleden heb ik deze fiets gekocht .
PRON NOUN ADJ PUNCT	NOW CON IST QUE	Zijn wespen giftig ?
PRON AUX ADV NOUN ADP PROPN PUNCT	PRO NOW NOT IST REL PER NIL	Ik ben niet jaloers op Tom .
DET NOUN AUX ADP DET NOUN PUNCT	DEF CON ENS REL DEF CON NIL	De theepot is onder de tafel .
PRON AUX ADV ADJ SCONJ PRON PUNCT	PRO NOW EQU IST REL PRO NIL	Hij is even groot als ik .
PROPN AUX VERB ADP NOUN PUNCT	ART PST EXS REL PER NIL	Le~Beau~Serge werd geregisseerd door Chabrol .
PROPN VERB ADV ADP PROPN PUNCT	ORG EPS REL REL PER NIL	Placebo werkte samen met Marilyn~Manson .
ADJ AUX ADP NUM VERB PUNCT	PER PST REL YOC EXS NIL	Martin~Luther~King werd in 1968 vermoord .
PRON VERB DET ADJ NOUN PUNCT	PRO EPS DIS IST CON NIL	Ik had een vreselijke maagpijn .
PRON VERB SCONJ PRON ADJ AUX PUNCT	PRO ENS SUB PRO IST NOW NIL	Ik weet dat ze mooi is .
PRON NOUN AUX PROPN PUNCT	HAS CON ENS CON NIL	Mijn moedertaal is Spaans .
PRON VERB PROPN PUNCT	PRO ENS CON NIL	Ik leer Tsjechisch .
DET NOUN VERB NUM NOUN ADP NOUN PUNCT	DEF CON EPS QUC UOM UOM UOM NIL	De trein ging 500 mijl per uur .
PRON AUX ADV ADJ PUNCT	PRO NOW AND IST NIL	Hij is altijd bezig .
PRON AUX DET ADJ NOUN PRON PROPN VERB PUNCT	QUE EPS DEF ORD CON AND PER EPS QUE	Wat was de eerste film die John~Milius regisseerde ?
NUM VERB DET NOUN PUNCT	QUE ENS PRX CON QUE	Hoeveel kost deze banaan ?
PROPN AUX ADP NUM ADP DET NOUN PROPN VERB PUNCT	PER PST REL YOC REL DEF CON GPE EXT NIL	Napoleon werd in 1814 naar het eiland Elba verbannen .
PROPN AUX DET NOUN ADP PROPN PUNCT	GPE ENS DIS CON REL GPE NIL	Auckland is een stad in Nieuw-Zeeland .
PRON VERB ADP PRON PUNCT	PRO EPS REL PRO NIL	Ze staarden naar haar .
DET NOUN VERB ADP DET NOUN PUNCT	DEF CON EPS REL DEF CON NIL	De vogel zong in de boom .
PRON VERB NUM NOUN PUNCT	PRO EPS QUC UOM NIL	Hij had vijftig dollar .
DET NOUN AUX VERB ADP PROPN ADP NUM PROPN ADJ SYM PUNCT	DEF CON PST EXS REL PER REL YOC REL YOC NIL NIL	De telefoon is uitgevonden door Bell in 1876 [ achttien~zesenzeventig ] .
PRON NOUN AUX ADV VERB PUNCT	HAS ROL POS NOT EXS NIL	Mijn moeder kan niet komen .
PRON AUX DET NOUN DET VERB PUNCT	PRO PST DIS CON PRG EXS NIL	Hij was een deuntje aan~het fluiten .
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	Het dak is lek .
DET NOUN VERB NUM NOUN ADP NOUN PUNCT	DEF CON EPS QUC UOM UOM UOM NIL	De trein ging 500 mijl per uur .
PRON VERB ADP DET ADJ NOUN PUNCT	PRO ENS REL DIS IST CON NIL	Hij woont in een enorm huis .
PRON AUX DET ADJ NOUN PUNCT	PRO ENS DIS GPO CON NIL	Het is een Cubaanse sigaar .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DIS CON EXT NIL	Ik heb een paraplu gekocht .
PRON VERB PROPN DET VERB NOUN PUNCT	PRO EPS PER DIS IST CON NIL	Ik gaf Tom een kalmerend middel .
PRON DET ADJ NOUN PUNCT	EMP DIS IST CON EMP	Wat een goed schot !
PRON NOUN AUX ADJ PUNCT	HAS ROL NOW DEG NIL	Mijn vader is groot .
PRON AUX DET NOUN PUNCT	PRO ENS NOT ROL NIL	Ik ben geen heks .
AUX SCONJ PRON NOUN PUNCT	ENS DST HAS CON QUE	Is dat mijn mok ?
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Tom eet een banaan .
PROPN VERB ADP PROPN PUNCT	PER EPS REL PER NIL	Aurore~Paquiss trouwde met Chabrol .
PROPN AUX DET NOUN ADP DET NOUN PUNCT	PER EPS DEF ROL REL DEF ORG NIL	Henry~Ford was de oprichter van de Ford~Motor~Company .
PROPN VERB ADP PROPN PUNCT	PER ENS REL GPE NIL	David~Vance woont in South~Portland .
PROPN PROPN VERB ADP PROPN PUNCT	ROL PER EPS REL GPE NIL	Lady Diana stierf in Parijs .
DET PROPN AUX VERB ADP NOUN PUNCT	DEF GEO NOW EXS REL CON NIL	De Ebrodelta wordt gebruikt voor landbouw .
DET NOUN AUX PRON NOUN VERB PUNCT	AND CON NOW HAS CON EXT NIL	Elke jongen heeft zijn diploma gekregen .
DET NOUN VERB PRON ADV ADV PUNCT	DEF CON EPS NIL ALT NOT NIL	De telefoon deed het weer niet .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	Hij speelde piano .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Hij draagt een zonnebril .
PRON AUX ADJ ADP DET NOUN PUNCT	PRO PST IST REL DEF CON NIL	Ze was bang voor de hond .
ADV AUX VERB ADP NOUN PUNCT	PER NOW IST REL PER NIL	Lisa~Lillien is getrouwd met Dan~Schneider .
NUM NOUN VERB ADP DET NOUN PUNCT	QUC ROL EPS REL DEF CON NIL	Twee criminelen ontsnapten uit de gevangenis .
PRON AUX PRON VERB PUNCT	PRO PST PRG EXS NIL	Hij was aan~het huilen .
PRON VERB ADV ADV SCONJ PRON ADJ AUX PUNCT	PRO NOW IST NOT SUB PRO IST NOW NIL	Ze is er niet omdat ze ziek is .
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	De grens is dicht .
PRON AUX VERB ADP DET ADJ NOUN PUNCT	PRO PST EXS REL DIS IST CON NIL	Hij werd gediskwalificeerd na een valse start .
PRON AUX ADV ADV DET NOUN VERB PUNCT	PRO NOW ALT NOT DIS CON EXT NIL	Ik heb nog nooit een giraf gezien .
PROPN AUX PRON NOUN PUNCT	PER NOW HAS ROL NIL	Tom is mijn neef .
PROPN AUX NUM ADJ NOUN VERB PUNCT	PER NOW QUC IST CON EXT NIL	Ole~Einar~Bjørndalen heeft 13 olympische medailles gewonnen .
DET NOUN AUX VERB PUNCT	AND CON NOW COL NIL	Een banaan is geel .
PROPN AUX NOUN PUNCT	PER ENS ROL NIL	Tom is vrachtwagenchauffeur .
PRON AUX NUM NOUN ADJ PUNCT	PRO NOW QUC UOM DEG NIL	Ik ben dertig jaar oud .
PRON AUX ADJ ADP NOUN PUNCT	PRO NOW IST REL CON NIL	Ik ben allergisch voor honden .
PROPN VERB ADP PROPN PUNCT	PER EPS REL GPE NIL	Maler woonde in Yucatán .
PROPN VERB NOUN ADP PROPN ADP ADP PROPN PUNCT	PER EPS CON REL ORG REL REL ORG NIL	Lopez nam documenten van GM mee naar VW .
PROPN VERB PROPN PUNCT	PER ENS CON NIL	Maria verstaat Chinees .
PRON AUX ADJ PUNCT	PRO NOW IST NIL	Je bent gek .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC CON NIL	We hebben dertien knuppels .
PRON VERB PRON ADP NOUN PUNCT	PRO EPS PRO REL ROL NIL	We verkozen hem tot burgemeester .
PRON NOUN VERB ADP DET NOUN PUNCT	HAS ROL ENS REL DIS CON NIL	Mijn broer werkt bij een bank .
PRON VERB PRON ADP ADV NUM NOUN PUNCT	PRO EPS PRO REL APX QUC UOM NIL	Ik kocht het voor ongeveer twaalf dollar .
PRON VERB PRON NOUN PROPN PUNCT	PRO EPS HAS CON LIT NIL	Hij noemde zijn hond Popeye .
PRON AUX ADJ PUNCT	PRO NOW COL NIL	Ze zijn geel .
DET NOUN VERB DET NOUN PUNCT	DEF CON ENS DEF CON NIL	Het konijn eet de wortel .
PRON AUX DET NOUN VERB PUNCT	QUE NOW DEF ART EXT QUE	Wie heeft de bijbel geschreven ?
VERB PRON NOUN PUNCT	FUT PRO EXS NIL	Laten we feesten .
DET NOUN VERB DET NOUN PUNCT	DEF ROL EPS DEF ROL NIL	De politieman achtervolgde de inbreker .
PRON AUX DET NOUN ADP DET ADJ NOUN PUNCT	QUE ENS DEF ROL REL DEF GPO ORG QUE	Wie is de leider van de Algerijnse Gewapende~Islamitische~Groep ?
AUX PRON DET NOUN PUNCT	ENS PRO DIS CON QUE	Hebt u een schoentrekker ?
PRON AUX NUM NOUN ADV VERB PUNCT	PRO NOW QUC UOM PST EXT NIL	Hij is drie dagen geleden vertrokken .
PROPN AUX DET NOUN VERB ADP PROPN PUNCT	PER NOW DIS CON EXT REL PER NIL	Mary heeft een telegram ontvangen van Tom .
DET NOUN AUX PRON VERB ADP DET NOUN PUNCT	DIS CON NOW PRG EXS REL DEF CON NIL	Een vogel is aan~het zingen in de boom .
PROPN AUX VERB ADP PROPN PUNCT	PER PST EXS REL PER NIL	Sandra~Goudie werd verslagen door Max~Purnell .
PRON AUX DET ADJ ADJ NOUN PUNCT	PER ENS DIS INT IST CON NIL	Rosa~Montero is een heel bijzondere vrouw .
PRON AUX ADV DET NOUN ADP DET VERB PUNCT	PRO NOW NOW DEF CON REL PRG EXS NIL	Hij is nu de straat over aan~het steken .
DET NOUN VERB ADP DET NOUN PUNCT	DEF CON ENS REL DEF CON NIL	De wind waait uit het oosten .
PRON VERB DET ADJ PUNCT	QUE EPS DEF HAP QUE	Wie won de Ronde~van~Frankrijk ?
PRON AUX VERB ADP PROPN PUNCT	PRO NOW IST REL PER NIL	Ik ben getrouwd met Lori .
PRON NOUN AUX ADP PROPN VERB PUNCT	HAS ROL NOW REL GPE EXT NIL	Mijn vader is in Vietnam gestorven .
PRON NOUN AUX VERB ADP DET NOUN PUNCT	HAS CON NOW EXS REL DIS CON NIL	Mijn auto is uitgerust met een cd-speler .
PROPN AUX VERB ADP PROPN PUNCT	PER PST EXS REL GPE NIL	Minton werd geboren in Australië .
ADV VERB PRON PUNCT	NOW ENS NIL NIL	Nu sneeuwt het .
PRON VERB PRON PUNCT	PRO EPS PRO NIL	Hij knuffelde haar .
DET NOUN VERB ADP PUNCT	DEF CON ENS REL NIL	De wekker loopt af .
DET NOUN ADP DET NOUN AUX ADV ADP DET ADJ NOUN PUNCT	DEF CON REL DEF CON PST EXS REL DIS IST CON NIL	De top van de speer was gedrenkt in een dodelijk vergif .
PRON VERB DET NOUN PUNCT	PRO EPS DEF CON NIL	Ik kauwde de gom .
PRON AUX ADJ ADP PRON PUNCT	PRO NOW IST REL PRO NIL	Ik ben gek op jou .
VERB PRON VERB PUNCT	POS PRO EXS QUE	Kan je schaatsen ?
PRON NOUN AUX VERB PUNCT	HAS CON NOW COL NIL	Mijn stropdas is oranje .
DET NOUN VERB ADP DET NOUN PUNCT	DEF CON ENS REL DEF CON NIL	De kat zit onder de tafel .
NOUN VERB PROPN PUNCT	CON ENS GPE NIL	Overstromingen verwoesten Europa .
PROPN AUX DET NOUN VERB PUNCT	PER NOW DEF CON EXT NIL	Edison heeft de kinetoscoop uitgevonden .
NOUN VERB ADP NUM PUNCT	PER EPS REL YOC NIL	Swift stierf in 1745 .
ADV VERB DET NOUN ADP DET NOUN PUNCT	NIL ENS DIS CON REL DEF CON NIL	Er ligt een pen op het bureau .
DET NOUN AUX ADJ ADP ADJ NOUN PUNCT	PRX CON NOW IST REL DEG CON NIL	Deze muziek is populair bij jonge mensen .
PRON NOUN AUX PRON NOUN ADP SYM VERB PUNCT	HAS CON NOW HAS CON REL SCO EXT NIL	Onze ploeg heeft onze tegenstander met 5-4 verslagen .
PROPN AUX PRON NOUN PUNCT	CON ENS HAS CON NIL	Frans is zijn moedertaal .
PRON AUX ADV ADJ PUNCT	DST NOW NOT IST NIL	Dat is niet belangrijk .
AUX PRON NOUN ADJ PUNCT	NOW PRO CON EXS QUE	Heb je geld nodig ?
PROPN VERB DET NOUN PUNCT	PER EPS DEF ROL NIL	Daniël bedankte de politiemensen .
DET NOUN VERB ADV ADJ PUNCT	DEF CON PST NOT IST NIL	Het restaurant was niet vol .
PRON NOUN VERB VERB PUNCT	HAS ROL EPS IST NIL	Mijn vrouw keek verbaasd .
PRON AUX PRON NOUN VERB PUNCT	PRO NOW HAS CON EXT NIL	Ik heb mijn T-shirt gewassen .
PRON AUX PRON NOUN VERB PUNCT	PRO NOW HAS CON EXT NIL	Ze heeft haar handtas verloren .
PROPN VERB DET NOUN PUNCT	PER ENS DIS CON NIL	Nancy heeft een piano .
PROPN VERB ADJ PROPN PUNCT	PER ENS IST CON NIL	Tony spreekt goed Engels .
DET NOUN AUX NUM NOUN ADV VERB PUNCT	PRX CON PST QUC UOM PST EXS NIL	Deze brug werd twee jaar geleden gebouwd .
PRON NOUN AUX ADJ PUNCT	HAS CON NOW COL NIL	Mijn hond is wit .
PRON AUX PRON NOUN VERB PUNCT	PRO NOW HAS CON EXT NIL	Ik heb mijn eten uitgekotst .
PRON VERB ADP NOUN ADP NOUN PUNCT	PRO EFS REL CON REL CLO NIL	Hij vertrekt naar school om zeven~uur .
PRON AUX DET NOUN PUNCT	PRO ENS DIS CON NIL	Ik heb een visum .
PRON AUX ADP PRON NOUN VERB PUNCT	PRO NOW REL HAS ROL EXT NIL	Ik heb met mijn baas geslapen .
NUM CCONJ NUM AUX NUM PUNCT	QUC CON QUC EXS QUC NIL	Vijf plus drie is acht .
PRON VERB ADJ DET NOUN PUNCT	PRO ENS APX DEF CON NIL	Ik woon dichtbij de dijk .
PRON AUX ADV ADJ SCONJ PRON PUNCT	PRO NOW NOT MOR REL PRO NIL	Hij is niet langer dan ik .
DET NOUN VERB ADJ PUNCT	PRX CON ENS IST NIL	Dit medicijn smaakt bitter .
PRON AUX DET NOUN ADP PROPN PUNCT	QUE ENS DEF ROL REL GPE QUE	Wie is de president van Noord-Korea ?
ADV VERB PROPN PUNCT	QUE ENS GPE QUE	Waar is Chiapas ?
PRON AUX ADV ADV ADJ PUNCT	PRO PST EMP NOT IST NIL	Ik was helemaal niet bang .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	We keken een film .
PRON VERB NUM NOUN PUNCT	PRO EPS QUC CON NIL	Hij opende één oog .
PROPN AUX VERB ADP PROPN PUNCT	PER PST EXS REL GPE NIL	Leloir is geboren in Argentinië .
PROPN AUX VERB ADP PROPN PUNCT	PER PST EXS REL GPE NIL	El-Nashar werd gearresteerd in Egypte .
NOUN AUX DET NOUN ADP PROPN PUNCT	PER ENS DEF ROL REL PER NIL	Sylvia~Costas is de echtgenote van Andy~Sipowicz .
PROPN VERB NUM ADJ NOUN PUNCT	ORG EPS QUC GPO CON NIL	PM verwierf drie Russische fabrieken .
PRON VERB DET NOUN ADP PRON NOUN PUNCT	PRO EPS DEF CON REL HAS CON NIL	Hij raakte het water met zijn voet .
PRON AUX ADV ADV ADJ PUNCT	PRO NOW EMP NOT IST NIL	Ik ben helemaal niet moe .
PROPN NOUN DET NOUN PUNCT	PER ENS DEF CON NIL	Tom haat de regels .
PRON VERB DET NOUN ADP PROPN VERB PUNCT	PRO NOW DIS CON REL ORG EXT NIL	Ik heb een muis van Microsoft gekocht .
PRON AUX PRON NOUN PUNCT	QUE ENS HAS CON QUE	Wat is uw achternaam ?
PRON VERB DET NOUN PUNCT	PRO ENS NOT CON NIL	Ik spreek geen Iers .
DET NOUN VERB DET NOUN PUNCT	DEF CON EPS DEF CON NIL	De hond beet de man .
PROPN AUX DET NOUN VERB PUNCT	PER NOW DEF HAP EXT NIL	Tom heeft het Eurovisie~Songfestival gewonnen .
PRON AUX DET ADJ NOUN PUNCT	PRO ENS DIS IST ROL NIL	Je bent een uitstekende chef-kok .
PRON VERB DET DET NOUN PUNCT	PRO NOW EMP NOT IST NIL	Ik heb helemaal geen honger .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	Ik speelde tennis .
PRON AUX ADP DET NOUN ADJ PUNCT	PRO PST REL DIS CON EXT NIL	Hij werd door een tijger verslonden .
DET NOUN VERB ADV PUNCT	DEF CON EPS ALT NIL	De telefoon ging opnieuw .
PRON VERB PRON NOUN ADP PUNCT	PRO EPS HAS CON REL NIL	Hij ging zijn kamer binnen .
PRON AUX ADP DET NOUN PUNCT	PRO EPS REL DEF CON NIL	Hij was in de winkel .
ADV AUX PRON DET NOUN VERB PUNCT	PST NOW PRO DIS CON EXT NIL	Gisteren heb ik een appel gegeten .
PRON AUX VERB ADP DET NOUN ADP PROPN PUNCT	PRO NOW IST REL DEF CON REL ORG NIL	Hij is verslaafd aan de koffie van Starbucks .
PRON VERB NOUN ADP DET NOUN PUNCT	PRO EPS CON REL DEF ORG NIL	Ze schonken geld aan het Rode~Kruis .
PRON VERB PRON PRON PUNCT	DST ENS PRO NOT NIL	Dat verbaast me niets .
ADP DET NOUN VERB DET NOUN PUNCT	REL QUE CON ENS DEF ART QUE	In welke stad is het Prado~Museum ?
DET ADJ NOUN AUX ADP DET NOUN VERB PUNCT	DEF DEG CON PST REL DIS CON EXS NIL	De oude man werd door een auto overreden .
PROPN AUX ADJ PUNCT	PER ENS ROL NIL	Mary is modeontwerpster .
PRON AUX ADJ PUNCT	PRO NOW IST EMP	Je bent dronken !
PRON VERB DET NOUN PUNCT	PRO EPS DEF CON NIL	Ze verbrandden het papier .
ADV VERB NUM PROPN PUNCT	PER EPS QUC CON NIL	Accardo componeerde 24 Caprices .
PROPN AUX VERB ADP PROPN PUNCT	PER PST IST REL PER NIL	Belknap was getrouwd met Carrie~Tomlinson .
PRON VERB DET NOUN ADP NUM NOUN PUNCT	PRO EPS DIS CON REL QUC UOM NIL	Ik kocht een fototoestel voor dertig dollar .
PROPN VERB ADJ NOUN ADP PROPN PUNCT	PER EPS IST CON REL GPE NIL	Yukichi~Fukuzawa introduceerde Westerse ideeën in Japan .
PRON VERB PUNCT	NIL ENS NIL	Het hagelt .
DET NOUN ADP DET NOUN AUX VERB PUNCT	DEF CON REL DEF CON PST IST NIL	De vleugel van de vogel was gebroken .
ADV VERB DET PROPN PUNCT	QUE ENS DEF GPE QUE	Waar liggen de Pribilof~eilanden ?
PROPN VERB PROPN PRON ADP PRON NOUN CCONJ PRON VERB PUNCT	PER EPS PER DIS REL HAS CON COO PRO EPS NIL	Tom fluisterde Maria iets in haar oor en ze glimlachte .
DET NOUN AUX ADJ PUNCT	DEF CON NOW IST NIL	Het meisje is eenzaam .
ADV VERB PROPN ADP DET NOUN PUNCT	QUE EPS PER REL DEF CON QUE	Waarom ging Jane naar het station ?
PROPN VERB DET NOUN PUNCT	PER EPS DIS CON NIL	Maria rookte een sigaar .
PRON NOUN AUX ADJ PUNCT	HAS CON NOW COL NIL	Mijn sweater is paars .
NOUN VERB PROPN PUNCT	ORG EPS ART NIL	FermiLab ontwikkelde Linux~LTS .
DET PROPN VERB NOUN ADP NUM PUNCT	DEF HAP EPS NIL REL YOC NIL	De Falklandoorlog vond plaats in 1982 .
PRON AUX PRON NOUN ADJ PUNCT	PRO NOW HAS CON EXS NIL	Ik heb zijn hulp nodig .
NOUN VERB DET NOUN ADP DET NOUN PUNCT	ROL EPS DEF ROL REL DEF ROL NIL	Extremisten ontvoerden de vrouw van de president .
PRON AUX PRON PRON ADV VERB PUNCT	PRO NOW PRO PRO QUV EXT NIL	Ik heb het je dikwijls gezegd .
