document	raw_pos	processed_pos	sem
Charles~de~Gaulle morì nel 1970 .	PROPN PROPN ADP VERB ADP NUM PUNCT	PROPN ADP VERB ADP NUM PUNCT	PER EPS DEF YOC NIL
L' aeroplano decollò .	PRON PUNCT PRON VERB PUNCT	PRON PUNCT PRON VERB PUNCT	DEF CON EPS NIL
Charles~de~Gaulle morì nel 1970 .	PROPN PROPN ADP VERB ADP NUM PUNCT	PROPN ADP VERB ADP NUM PUNCT	PER EPS DEF YOC NIL
Sto mirando a quell' anatra .	PROPN VERB ADP PROPN PUNCT VERB PUNCT	PROPN VERB ADP PROPN PUNCT VERB PUNCT	NOW EXG REL DST CON NIL
Tom applaudì .	PROPN PROPN PUNCT	PROPN PUNCT	PER EPS NIL
Tom ha pagato un hot~dog per Mary .	PROPN AUX VERB DET ADJ PROPN NOUN ADP PROPN PUNCT	PROPN AUX VERB DET ADJ PROPN NOUN ADP PROPN PUNCT	PER NOW EXT DIS CON REL PER NIL
L' ufficio era deserto .	PRON PUNCT NOUN AUX ADJ PUNCT	PRON PUNCT NOUN AUX ADJ PUNCT	DEF CON PST IST NIL
Il mercato~azionario cadde .	DET NOUN PROPN NOUN ADJ PUNCT	DET NOUN PROPN NOUN ADJ PUNCT	DEF CON EPS NIL
Passò mezz' ora .	PROPN ADJ PUNCT ADV PUNCT	PROPN ADJ PUNCT ADV PUNCT	EPS QUC UOM NIL
Carl~Smith morì l' 8 agosto .	NOUN VERB PROPN PUNCT NUM NOUN PUNCT	NOUN VERB PROPN PUNCT NUM NOUN PUNCT	PER EPS DEF DOM MOY NIL
L' uomo ha ragione .	PRON PUNCT NOUN VERB NOUN PUNCT	PRON PUNCT NOUN VERB NOUN PUNCT	DEF CON NOW IST NIL
L' irlandese risponde .	PRON PUNCT ADJ VERB PUNCT	PRON PUNCT ADJ VERB PUNCT	DEF GPO ENS NIL
Ho comprato quell' auto .	AUX VERB PROPN PUNCT ADJ PUNCT	AUX VERB PROPN PUNCT ADJ PUNCT	NOW EXT DST CON NIL
Nessuno l' ha chiamato .	PRON PRON PRON AUX VERB PUNCT	PRON PRON PRON AUX VERB PUNCT	NOT PRO NOW EXT NIL
L' arciere ha ucciso il cervo .	PRON PUNCT ADJ AUX VERB DET NOUN PUNCT	PRON PUNCT ADJ AUX VERB DET NOUN PUNCT	DEF ROL NOW EXT DEF CON NIL
L' uragano Katrina ha devastato New~Orleans .	PRON PUNCT VERB PROPN AUX VERB PROPN PUNCT	PRON PUNCT VERB PROPN AUX VERB PROPN PUNCT	DEF CON GEO NOW EXT GPE NIL
Quell' aereo decollerà alle cinque .	PROPN PUNCT NOUN VERB ADP NUM PUNCT	PROPN PUNCT NOUN VERB ADP NUM PUNCT	DST CON EFS REL CLO NIL
L' affitto è molto alto .	PRON PUNCT NOUN AUX ADV ADJ PUNCT	PRON PUNCT NOUN AUX ADV ADJ PUNCT	DEF CON NOW INT DEG NIL
Lui era un bell' uomo .	PRON AUX DET NOUN PUNCT NOUN PUNCT	PRON AUX DET NOUN PUNCT NOUN PUNCT	PRO EPS DIS IST CON NIL
L' Illinois confina con il Missouri .	PRON PUNCT PROPN VERB ADP DET PROPN PUNCT	PRON PUNCT PROPN VERB ADP DET PROPN PUNCT	DEF GPE ENS REL DEF GPE NIL
La T-shirt costa dieci euro .	DET PROPN PUNCT ADJ VERB NUM NOUN PUNCT	DET PROPN PUNCT ADJ VERB NUM NOUN PUNCT	DEF CON ENS QUC UOM NIL
L' Italia batté il Kazakhstan .	PRON PUNCT PROPN VERB DET PROPN PUNCT	PRON PUNCT PROPN VERB DET PROPN PUNCT	DEF ORG EPS DEF ORG NIL
Questo libro costa su~per~giù 20 euro .	DET NOUN VERB ADP PROPN ADP DET ADV NUM NOUN PUNCT	DET NOUN VERB ADP PROPN ADP DET ADV NUM NOUN PUNCT	PRX CON ENS APX QUC UOM NIL
L' infermiere ha preso la sua temperatura con il termometro .	PRON PUNCT NOUN AUX VERB DET DET NOUN ADP DET NOUN PUNCT	PRON PUNCT NOUN AUX VERB DET DET NOUN ADP DET NOUN PUNCT	DEF ROL NOW EXT DEF HAS CON REL DEF CON NIL
La Russia è più grande dell' Italia .	DET PROPN AUX ADV ADJ PROPN PUNCT PROPN PUNCT	DET PROPN AUX ADV ADJ PROPN PUNCT PROPN PUNCT	DEF GPE NOW MOR IST REL GPE NIL
Napoleone è stato esiliato sull' Isola d' Elba nel 1814 .	PROPN AUX AUX VERB PROPN PUNCT PROPN PROPN PUNCT PROPN ADP NUM PUNCT	PROPN AUX AUX VERB PROPN PUNCT PROPN PUNCT PROPN ADP NUM PUNCT	PER NOW PFT EXS DEF CON REL GPE DEF YOC NIL
Lady Diana è morta a Parigi .	PROPN PROPN AUX VERB ADP PROPN PUNCT	PROPN AUX VERB ADP PROPN PUNCT	ROL PER NOW EXT REL GPE NIL
"Chi ha vinto il "" Tour~de~France "" ?"	PRON AUX VERB DET PUNCT PROPN PROPN NOUN PUNCT PUNCT	PRON AUX VERB DET PUNCT PROPN NOUN PUNCT PUNCT	QUE NOW EXT DEF NIL ART NIL QUE
Inondazioni devastano l' Europa .	NOUN VERB PRON AUX PROPN PUNCT	NOUN VERB PRON AUX PROPN PUNCT	CON ENS DEF GPE NIL
"Chi scrisse "" Fiddler~of~the~Roof "" ?"	PRON VERB PUNCT PROPN PROPN ADP PROPN PROPN PUNCT PUNCT	PRON VERB PUNCT PROPN ADP PROPN PUNCT PUNCT	QUE EPS NIL ART NIL QUE
Lei ha rovesciato dell' inchiostro sulla scrivania .	PRON AUX VERB PROPN PUNCT ADJ ADP NOUN PUNCT	PRON AUX VERB PROPN PUNCT ADJ ADP NOUN PUNCT	PRO NOW EXT DIS CON DEF CON NIL
Il cane ha morso l' uomo .	DET NOUN AUX VERB AUX PUNCT NOUN PUNCT	DET NOUN AUX VERB AUX PUNCT NOUN PUNCT	DEF CON NOW EXT DEF CON NIL
Il libro è fuori~stampa .	DET NOUN AUX ADV DET NOUN PUNCT	DET NOUN AUX ADV DET NOUN PUNCT	DEF CON NOW IST NIL
Ho comprato un' agenda rossa .	AUX VERB DET PUNCT NOUN ADJ PUNCT	AUX VERB DET PUNCT NOUN ADJ PUNCT	NOW EXT DIS CON COL NIL
La nostra squadra vinse tre~a~uno .	DET DET NOUN VERB NUM PROPN ADP PROPN PRON PUNCT	DET DET NOUN VERB NUM PROPN ADP PROPN PRON PUNCT	DEF HAS CON EPS SCO NIL
Quanti abitanti ha l' Uttar~Pradesh ?	DET NOUN VERB X PROPN PROPN PUNCT	DET NOUN VERB PUNCT	QUE ROL ENS DEF GPE QUE
Tom non è per~niente felice .	PROPN ADV AUX ADP NUM ADV ADJ PUNCT	PROPN ADV AUX ADP NUM ADV ADJ PUNCT	PER NOT NOW EMP IST NIL
L' orso mangiò una mela .	PRON PUNCT ADJ VERB DET NOUN PUNCT	PRON PUNCT ADJ VERB DET NOUN PUNCT	DEF CON EPS DIS CON NIL
Il gruppo~rock Spock's~Beard viene dal Giappone .	DET NOUN PROPN NOUN PROPN PROPN VERB ADP PROPN PUNCT	DET NOUN PROPN NOUN PROPN VERB ADP PROPN PUNCT	DEF CON ORG ENS DEF GPE NIL
Una spugna assorbe l' acqua .	DET NOUN VERB AUX PUNCT NOUN PUNCT	DET NOUN VERB AUX PUNCT NOUN PUNCT	AND CON EXS DEF CON NIL
L' acqua non è potabile .	PRON PUNCT NOUN ADV AUX ADJ PUNCT	PRON PUNCT NOUN ADV AUX ADJ PUNCT	DEF CON NOT NOW IST NIL
Che cos' è Bausch~&~Lomb ?	DET NOUN PUNCT AUX PROPN PUNCT	DET NOUN PUNCT AUX PROPN PUNCT	QUE CON ENS ORG QUE
Tom l' ha autografata .	PROPN PRON PRON AUX VERB PUNCT	PROPN PRON PRON AUX VERB PUNCT	PER PRO NOW EXT NIL
L' Italia non è la Grecia .	PRON PUNCT PROPN ADV AUX DET PROPN PUNCT	PRON PUNCT PROPN ADV AUX DET PROPN PUNCT	DEF GPE NOT ENS DEF GPE NIL
I pesci abbondano nel l' oceano .	DET NOUN VERB ADP PROPN AUX ADJ PUNCT	DET NOUN VERB ADP PROPN AUX ADJ PUNCT	DEF CON ENS REL DEF CON NIL
Tom riempì il secchio con dell' acqua .	VERB NOUN DET NOUN ADP NOUN PUNCT NOUN PUNCT	VERB NOUN DET NOUN ADP NOUN PUNCT NOUN PUNCT	PER EPS DEF CON REL DIS CON NIL
Tom ha guidato l' automobile .	PROPN AUX VERB PRON PUNCT ADJ PUNCT	PROPN AUX VERB PRON PUNCT ADJ PUNCT	PER NOW EXT DEF CON NIL
Abbiamo perso la partita 3-2 .	AUX VERB DET NOUN NUM PUNCT NUM PUNCT	AUX VERB DET NOUN NUM PUNCT NUM PUNCT	NOW EXT DEF CON SCO NIL
Io sto lavorando per McDonald's .	PRON AUX VERB ADP PROPN PART PUNCT	PRON AUX VERB ADP PROPN PART PUNCT	PRO NOW EXG REL ORG NIL
Tom ridacchiò .	PROPN PROPN PUNCT	PROPN PUNCT	PER EPS NIL
Quest' area è estremamente isolata .	NOUN PUNCT NOUN AUX ADV VERB PUNCT	NOUN PUNCT NOUN AUX ADV VERB PUNCT	PRX CON NOW INT IST NIL
Tom assaggiò lo stufato .	PROPN PROPN DET NOUN PUNCT	PROPN DET NOUN PUNCT	PER EPS DEF CON NIL
Tom lavorava per una compagnia~petrolifera .	PROPN VERB ADP DET NOUN ADJ NOUN PUNCT	PROPN VERB ADP DET NOUN ADJ NOUN PUNCT	PER EPS REL DIS CON NIL
Lui ha assunto un investigatore~privato .	PRON AUX VERB DET NOUN ADJ NOUN PUNCT	PRON AUX VERB DET NOUN ADJ NOUN PUNCT	PRO NOW EXT DIS ROL NIL
Noi vendiamo dell' aranciata .	PRON VERB PROPN PUNCT ADJ PUNCT	PRON VERB PROPN PUNCT ADJ PUNCT	PRO ENS REL CON NIL
L' esibizione iniziò alle otto .	PRON PUNCT NOUN VERB ADP NUM PUNCT	PRON PUNCT NOUN VERB ADP NUM PUNCT	DEF CON EPS DEF CLO NIL
Charles~de~Gaulle morì nel 1970 .	PROPN PROPN ADP VERB ADP NUM PUNCT	PROPN ADP VERB ADP NUM PUNCT	PER EPS DEF YOC NIL
Un' ape ronza .	DET PUNCT VERB NOUN PUNCT	DET PUNCT VERB NOUN PUNCT	AND CON EXS NIL
Betty è una serial~killer .	PROPN AUX DET NOUN ADJ NOUN PUNCT	PROPN AUX DET NOUN ADJ NOUN PUNCT	PER ENS DIS ROL NIL
L' hard~disk è stato completamente distrutto .	PRON PRON ADJ DET NOUN AUX AUX ADV VERB PUNCT	PRON PRON ADJ DET NOUN AUX AUX ADV VERB PUNCT	DEF CON NOW PFT INT EXS NIL
Charles~de~Gaulle morì nel 1970 .	PROPN PROPN ADP VERB ADP NUM PUNCT	PROPN ADP VERB ADP NUM PUNCT	PER EPS DEF YOC NIL
Quale strumento suonava il musicista~jazz Art~Tatum ?	DET NOUN VERB DET NOUN PROPN NOUN PROPN PUNCT	DET NOUN VERB DET NOUN PROPN NOUN PROPN PUNCT	QUE CON EPS DEF ROL PER QUE
Lui non è per~nulla felice .	PRON ADV AUX ADP PROPN PRON ADJ PUNCT	PRON ADV AUX ADP PROPN PRON ADJ PUNCT	PRO NOT NOW EMP IST NIL
Quell' uomo è keniota .	PROPN PUNCT NOUN AUX PROPN PUNCT	PROPN PUNCT NOUN AUX PROPN PUNCT	DST CON NOW GPO NIL
L' auto è verde .	PRON PUNCT NOUN AUX ADJ PUNCT	PRON PUNCT NOUN AUX ADJ PUNCT	DEF CON NOW COL NIL
La ragazza indossava un kimono blu~chiaro .	DET NOUN VERB DET NOUN ADJ PRON ADJ PUNCT	DET NOUN VERB DET NOUN ADJ PRON ADJ PUNCT	DEF CON EPS DIS CON COL NIL
Il sangue era rosso~acceso .	DET NOUN AUX ADJ PRON NOUN PUNCT	DET NOUN AUX ADJ PRON NOUN PUNCT	DEF CON PST IST NIL
L' atterraggio è stato perfetto .	PRON PUNCT NOUN AUX AUX ADJ PUNCT	PRON PUNCT NOUN AUX AUX ADJ PUNCT	DEF CON NOW PFT IST NIL
È successo alle undici~e~un~quarto .	AUX VERB ADP NUM NUM CCONJ DET PRON PROPN ADJ PUNCT	AUX VERB ADP NUM NUM CCONJ DET PRON PROPN ADJ PUNCT	PRO EPS DEF CLO NIL
In~altre~parole , lui è pigro .	ADP NUM ADJ ADJ NOUN PUNCT PRON AUX ADJ PUNCT	ADP NUM ADJ ADJ NOUN PUNCT PRON AUX ADJ PUNCT	ALT NIL PRO NOW IST NIL
Tom ridacchiò .	PROPN PROPN PUNCT	PROPN PUNCT	PER EPS NIL
Il Manchester~United vinse la partita quattro~a~due .	DET PROPN VERB DET NOUN NUM PROPN ADP NUM NUM PUNCT	DET PROPN VERB DET NOUN NUM PROPN ADP NUM NUM PUNCT	DEF ORG EPS DEF CON SCO NIL
Il Fast~food è popolare in Giappone .	DET PROPN PROPN NOUN AUX ADJ ADP PROPN PUNCT	DET PROPN NOUN AUX ADJ ADP PROPN PUNCT	DEF CON NOW IST REL GPE NIL
Lei ha vinto una medaglia~d'oro .	PRON AUX VERB DET NOUN NUM ADP NOUN PUNCT	PRON AUX VERB DET NOUN NUM ADP NOUN PUNCT	PRO NOW EXT DIS CON NIL
Tom urlò .	PROPN PROPN PUNCT	PROPN PUNCT	PER EPS NIL
L' oca starnazza .	PRON PUNCT DET NOUN PUNCT	PRON PUNCT DET NOUN PUNCT	DEF CON ENS NIL
Quell' uomo è innamorato di mia sorella .	PROPN PUNCT NOUN AUX VERB ADP DET NOUN PUNCT	PROPN PUNCT NOUN AUX VERB ADP DET NOUN PUNCT	DST CON NOW IST REL HAS ROL NIL
L' anatra starnazza .	PRON PUNCT ADP NOUN PUNCT	PRON PUNCT ADP NOUN PUNCT	DEF CON ENS NIL
L' uccello vola .	PRON PUNCT NOUN ADJ PUNCT	PRON PUNCT NOUN ADJ PUNCT	DEF CON ENS NIL
Tom applaudì .	PROPN PROPN PUNCT	PROPN PUNCT	PER EPS NIL
Papa Giovanni~Paolo~II è nato in Polonia .	PROPN PROPN AUX VERB ADP PROPN PUNCT	PROPN AUX VERB ADP PROPN PUNCT	ROL PER NOW EXT REL GPE NIL
Io ho mangiato tre hot~dog .	PRON AUX VERB NUM ADJ PROPN NOUN PUNCT	PRON AUX VERB NUM ADJ PROPN NOUN PUNCT	PRO NOW EXT QUC CON NIL
La prima bomba~atomica fu sganciata sul Giappone .	DET ADJ NOUN ADJ NOUN AUX VERB ADP PROPN PUNCT	DET ADJ NOUN ADJ NOUN AUX VERB ADP PROPN PUNCT	DEF ORD CON PST EXS DEF GPE NIL
Sto così~così .	PROPN ADV DET ADV PUNCT	PROPN ADV DET ADV PUNCT	NOW IST NIL
Michael~Crichton è l' autore del libro Jurassic~Park .	PROPN AUX DET PUNCT NOUN ADP NOUN PROPN PUNCT	PROPN AUX DET PUNCT NOUN ADP NOUN PROPN PUNCT	PER ENS DEF ROL REL CON ART NIL
Lui ha abbattuto quell' albero di ciliegio .	PRON AUX VERB PROPN PUNCT NOUN ADP NOUN PUNCT	PRON AUX VERB PROPN PUNCT NOUN ADP NOUN PUNCT	PRO NOW EXT DIS CON REL CON NIL
La musica~classica mi conforta .	DET NOUN ADJ NOUN PRON VERB PUNCT	DET NOUN ADJ NOUN PRON VERB PUNCT	DEF CON PRO ENS NIL
Tom sorrise .	PROPN PROPN PUNCT	PROPN PUNCT	PER EPS NIL
Questo caffè viene da ll' Eritrea .	DET NOUN VERB ADP PROPN AUX PROPN PUNCT	DET NOUN VERB ADP PROPN AUX PROPN PUNCT	PRX CON ENS REL DEF GPE NIL
Io voglio un hot~dog .	PRON VERB DET ADJ PROPN NOUN PUNCT	PRON VERB DET ADJ PROPN NOUN PUNCT	PRO ENS DIS CON NIL
L' appendice è lunga circa 10 cm .	PRON PUNCT ADJ AUX ADJ ADV NUM NOUN PUNCT	PRON PUNCT ADJ AUX ADJ ADV NUM NOUN PUNCT	AND CON NIL DEG APX QUC UOM NIL
L' etichetta è incollata al bagagliaio .	PRON PUNCT VERB AUX VERB ADP NOUN PUNCT	PRON PUNCT VERB AUX VERB ADP NOUN PUNCT	DEF CON NOW EXS DEF CON NIL
L' America abbonda di petrolio .	PRON ADJ PROPN VERB ADP NOUN PUNCT	PRON ADJ PROPN VERB ADP NOUN PUNCT	DEF GPE ENS REL CON NIL
L' allarme~anti-incendio suonò .	PRON PUNCT NOUN NUM ADJ PUNCT NOUN PROPN PUNCT	PRON PUNCT NOUN NUM ADJ PUNCT NOUN PROPN PUNCT	DEF CON EPS NIL
L' Everglades è ampio 50 miglia .	PRON PUNCT PROPN AUX ADJ NUM NOUN PUNCT	PRON PUNCT PROPN AUX ADJ NUM NOUN PUNCT	DEF GEO NOW IST QUC UOM NIL
Il risultato è di 1-0 .	DET NOUN AUX ADP NUM PUNCT NUM PUNCT	DET NOUN AUX ADP NUM PUNCT NUM PUNCT	DEF CON ENS REL SCO NIL
Tom attaccò la corda all' aquilone .	PROPN NOUN DET NOUN NOUN PUNCT NOUN PUNCT	PROPN NOUN DET NOUN NOUN PUNCT NOUN PUNCT	PER EPS DEF CON DEF CON NIL
Le bambine ballano ne l bosco .	DET NOUN VERB ADP X VERB PUNCT	DET NOUN VERB ADP VERB PUNCT	DEF CON ENS REL DEF CON NIL
