ID	raw_text_en	source	id	French translation	French source	Last accessed
00/0712	Kraft sold Celestial Seasonings.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	84	Kraft a vendu Celestial Seasonings.		
00/0715	Anna Politkovskaya was murdered.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	384	Anna Politkovskaya a été assassinée.		
00/0717	The yakuza are the Japanese mafia.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	584	Les yakuza forment la mafia japonaise.		
00/0766	Yunus founded the Grameen Bank 30 years ago.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	623	Yunus a fondé la banque Grameen il y a 30 ans.		
00/0771	Maria has long hair.	http://opus.lingfil.uu.se/Tatoeba.php	5994	Maria a les cheveux longs.	https://tatoeba.org/eng/sentences/show/5995	21.05.2021
00/0784	Bob is popular at school.	http://opus.lingfil.uu.se/Tatoeba.php	33196	Bob est populaire à l'école.	https://tatoeba.org/eng/sentences/show/332272	21.05.2021
00/0881	Nice suit.	http://opus.lingfil.uu.se/Tatoeba.php	576038	Joli costume.	https://tatoeba.org/en/sentences/show/9820923	21.05.2021
00/0895	Where are the parking metres?	http://opus.lingfil.uu.se/Tatoeba.php	839798	Où sont les parcmètres ?	https://tatoeba.org/eng/sentences/show/839795	21.05.2021
00/0927	Tom used a toothpick.	http://opus.lingfil.uu.se/Tatoeba.php	1482611	Tom a utilisé un cure-dent.	https://tatoeba.org/en/sentences/show/10052984	21.05.2021
00/1549	This is Miss Curtis.	http://opus.lingfil.uu.se/Tatoeba.php	61536	Voici Mademoiselle Curtis.	https://tatoeba.org/en/sentences/show/10052994	21.05.2021
01/0784	Bob was very happy.	http://opus.lingfil.uu.se/Tatoeba.php	33211	Bob était très content.	https://tatoeba.org/en/sentences/show/10053014	21.05.2021
01/0877	Hi.	http://opus.lingfil.uu.se/Tatoeba.php	538123	Salut.	https://tatoeba.org/eng/sentences/show/4320462	21.05.2021
01/0958	Hello!	http://opus.lingfil.uu.se/Tatoeba.php	373330-373339	Bonjour !	https://tatoeba.org/eng/sentences/show/373345	21.05.2021
02/0712	Kraft sold Celestial Seasonings.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	86	Kraft a vendu Celestial Seasonings.		
02/0713	9 people were assassinated by Raman Raghav.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	186	Raman Raghav a assassiné 9 personnes.		
03/0766	Alfred Nobel invented dynamite in 1866.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	626	Alfred Nobel a inventé la dynamite en 1866.		
03/0884	He brewed beer.	http://opus.lingfil.uu.se/Tatoeba.php	641274	Il a brassé de la bière.	https://tatoeba.org/en/sentences/show/10053893	21.05.2021
03/0900	She suffers from a contagious disease.	http://opus.lingfil.uu.se/Tatoeba.php	1018007	Elle a une maladie contagieuse.	https://tatoeba.org/en/sentences/show/10068750	28.05.2021
03/0946	There are also French tourists.	http://opus.lingfil.uu.se/Tatoeba.php	2685810	Il y a aussi des touristes français.	https://tatoeba.org/en/sentences/show/10053896	21.05.2021
03/2101	The lake is very deep.	http://opus.lingfil.uu.se/Tatoeba.php	482141	Le lac est très profond.	https://tatoeba.org/eng/sentences/show/482167	21.05.2021
04/0830	Nobody can solve this problem.	http://opus.lingfil.uu.se/Tatoeba.php	276577	Personne ne peut résoudre ce problème.	https://tatoeba.org/en/sentences/show/634681	21.05.2021
05/0820	The red skirt is new.	http://opus.lingfil.uu.se/Tatoeba.php	462894	La jupe rouge est neuve.	https://tatoeba.org/eng/sentences/show/961204	21.05.2021
05/0830	Nobody has solved the problem.	http://opus.lingfil.uu.se/Tatoeba.php	276578	Personne n'a résolu le problème.	https://tatoeba.org/en/sentences/show/129251	21.05.2021
05/0904	I eat an apple.	http://opus.lingfil.uu.se/Tatoeba.php	1098565	Je mange une pomme.	https://tatoeba.org/en/sentences/show/13776	21.05.2021
06/0760	Capt. Scott reached Scott Island in December 1902.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	31	Le capitaine Scott a découvert l'île Scott en décembre 1902.		
06/0910	The rain lasted five days.	http://opus.lingfil.uu.se/Tatoeba.php	26713	Il a plu pendant cinq jours.	https://tatoeba.org/en/sentences/show/551910	21.05.2021
06/2903	I have two cats.	http://opus.lingfil.uu.se/Tatoeba.php	2412739	J'ai deux chats.	https://tatoeba.org/en/sentences/show/2982659	21.05.2021
07/0760	Carl Smith died on August 8.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	32	Carl Smith est mort le 8 août.		
07/0905	The man is right.	http://opus.lingfil.uu.se/Tatoeba.php	1117500	Cet homme a raison.	https://tatoeba.org/en/sentences/show/10068526	28.05.2021
07/0914	A cookie is under the table.	http://opus.lingfil.uu.se/Tatoeba.php	1306415	Il y a un biscuit sous la table.	https://tatoeba.org/en/sentences/show/3285641	28.05.2021
07/0928	My mother has cooked ten eggs.	http://opus.lingfil.uu.se/Tatoeba.php	1490779	Ma mère a fait cuire dix œufs.	https://tatoeba.org/en/sentences/show/10068751	28.05.2021
07/3391	I drive a convertible.	http://opus.lingfil.uu.se/Tatoeba.php	2325144	Je conduis une décapotable.	https://tatoeba.org/en/sentences/show/10053073	21.05.2021
08/0765	Romania sent 730 troops in Iraq.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	532	La Roumanie a envoyé 730 soldats en Irak.		
08/0785	Bill did not commit the crime.	http://opus.lingfil.uu.se/Tatoeba.php	34546	Bill n'a pas commis ce crime.	https://tatoeba.org/en/sentences/show/390432	21.05.2021
08/0934	This book costs 4 dollars.	http://opus.lingfil.uu.se/Tatoeba.php	1595322	Ce livre coûte 4 dollars.	https://tatoeba.org/en/sentences/show/430420	21.05.2021
09/1392	Where was the director Michelangelo Antonioni born?	http://clef-qa.fbk.eu/2004/resources.html		Où est né le réalisateur Michelangelo Antonioni ?		
09/2518	I ordered pizza.	http://opus.lingfil.uu.se/Tatoeba.php	2246035	J'ai commandé une pizza.	https://tatoeba.org/en/sentences/show/7696467	21.05.2021
10/0713	Baena Soares was arrested by the armed forces.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	194	Baena Soares a été arrêté par l'armée.		
10/0795	John lives in New York.	http://opus.lingfil.uu.se/Tatoeba.php	52667	John vit à New York.	https://tatoeba.org/en/sentences/show/410249	21.05.2021
10/0827	Where's the newspaper?	http://opus.lingfil.uu.se/Tatoeba.php	269383	Où est le journal ?	https://tatoeba.org/en/sentences/show/936212	21.05.2021
10/0853	He had one daughter.	http://opus.lingfil.uu.se/Tatoeba.php	322866	Il avait une fille.	https://tatoeba.org/en/sentences/show/135317	21.05.2021
10/0878	The dog is white.	http://opus.lingfil.uu.se/Tatoeba.php	526365	Le chien est blanc.	https://tatoeba.org/en/sentences/show/529821	21.05.2021
10/0883	This house is famous.	http://opus.lingfil.uu.se/Tatoeba.php	619294	Cette maison est connue.	https://tatoeba.org/en/sentences/show/10053882	21.05.2021
10/0887	Who sings that song?	http://opus.lingfil.uu.se/Tatoeba.php	687752	Qui chante cette chanson ?	https://tatoeba.org/en/sentences/show/1060295	21.05.2021
10/2336	The tower is fifteen metres high.	http://opus.lingfil.uu.se/Tatoeba.php	3153124	La tour fait quinze mètres de haut.	https://tatoeba.org/en/sentences/show/2332480	28.05.2021
13/0713	Canada beat USA.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	197	Le Canada a battu les Etats-Unis.		
14/0713	Italy beat Kazakhstan.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	198	L'Italie a battu le Kazakhstan.		
14/0716	Vladislav Listyev was murdered in Moscow.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	498/499/500/485/486/487	Vladislav Listyev a été assassiné à Moscou.		
14/1740	Nobody loves war.	http://opus.lingfil.uu.se/Tatoeba.php	1123889	Personne n'aime la guerre.	https://tatoeba.org/en/sentences/show/335210	21.05.2021
15/0716	Vladislav Listyev was murdered in Moscow.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	498/499/500/485/486/487	Vladislav Listyev a été assassiné à Moscou.		
15/0816	My sister is famous.	http://opus.lingfil.uu.se/Tatoeba.php	251921	Ma soeur est célèbre.	https://tatoeba.org/en/sentences/show/560046	21.05.2021
15/0956	The door is closed.	http://opus.lingfil.uu.se/Tatoeba.php	1398319-1480626	La porte est fermée.	https://tatoeba.org/en/sentences/show/5305038	21.05.2021
15/2508	The meat is frozen.	http://opus.lingfil.uu.se/Tatoeba.php	44614	La viande est congelée.	https://tatoeba.org/en/sentences/show/396141	21.05.2021
16/0761	Saddam Hussein flees to the U.S.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	141	Saddam Hussein fuit aux États-Unis		
17/2559	Auckland is a city in New Zealand.	http://opus.lingfil.uu.se/Tatoeba.php	427943	Auckland est une ville de Nouvelle-Zéland.	https://tatoeba.org/en/sentences/show/1338578	21.05.2021
18/1618	My father is tall.	http://opus.lingfil.uu.se/Tatoeba.php	319319	Mon père est grand.	https://tatoeba.org/en/sentences/show/373994	21.05.2021
19/0711	Aurore Paquiss married Chabrol.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	3	Aurore Paquiss est marié à Chabrol.		
19/0712	Henry Ford founded the Ford Motor Company.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	103	Henri Ford a fondé l'entreprise Ford.		
19/0918	The border is closed.	http://opus.lingfil.uu.se/Tatoeba.php	1399667	La frontière est fermée.	https://tatoeba.org/en/sentences/show/5043046	21.05.2021
19/2243	Tom's my cousin.	http://opus.lingfil.uu.se/Tatoeba.php	2549442	Tom est mon cousin.	https://tatoeba.org/en/sentences/show/2753064	21.05.2021
20/0761	Senacal resides in Cortland Manor.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	145	Senecal habite le Manoir Cortland.		
20/0785	Picasso is a famous artist.	http://opus.lingfil.uu.se/Tatoeba.php	34821	Picasso est un artiste célèbre.	https://tatoeba.org/en/sentences/show/332295	21.05.2021
20/0851	The wind is blowing.	http://opus.lingfil.uu.se/Tatoeba.php	319673	Le vent souffle.	https://tatoeba.org/en/sentences/show/671202	21.05.2021
20/0874	Sumatra is an island.	http://opus.lingfil.uu.se/Tatoeba.php	477051	Sumatra est une île.	https://tatoeba.org/en/sentences/show/479910	21.05.2021
21/0860	Two plus two makes four.	http://opus.lingfil.uu.se/Tatoeba.php	394885	Deux plus deux égale quatre.	https://tatoeba.org/en/sentences/show/8252054	21.05.2021
21/0867	Marilyn Monroe died 33 years ago.	http://opus.lingfil.uu.se/Tatoeba.php	439463	Marilyn Monroe est morte il y a 33 ans.	https://tatoeba.org/en/sentences/show/429548	21.05.2021
21/1954	Many people admire Nikko.	http://opus.lingfil.uu.se/Tatoeba.php	4640863	Beaucoup de gens admire Nikklo.	https://tatoeba.org/en/sentences/show/10053108	21.05.2021
23/0711	Sandra Goudie was defeated by Max Purnell.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	7	Sandra Goudie a perdu contre Max Purnell.		
24/3251	The cat is under the table.	http://opus.lingfil.uu.se/Tatoeba.php	801731	Le chat est sous la table.	https://tatoeba.org/en/sentences/show/802817	21.05.2021
25/0713	Floods ravage Europe.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	208/209	Les inondations ravagent l'Europe.		
25/0760	Edison invented the Kinetoscope.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	50	Edison a inventé le Kinétoscope.		
26/0815	My dog is white.	http://opus.lingfil.uu.se/Tatoeba.php	250774	Mon chien est blanc.	https://tatoeba.org/en/sentences/show/534274	21.05.2021
27/0712	Leloir was born in Argentina.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	111	Leloir est né en Argentine.		
27/0760	El-Nashar was arrested in Egypt.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	52	El-Nashar a été arrêté en Egypte.		
27/0761	Sylvia Costas is the wife of Andy Sipowicz.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	152	Sylvia Costas est la femme d'Andy Sipowicz.		
27/0766	PM acquired three Russian factories.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	650	PM a acheté trois usines russes.		
27/1900	The dog bit the man.	http://opus.lingfil.uu.se/Tatoeba.php	239217	Le chien a mordu l'homme.	https://tatoeba.org/en/sentences/show/1985780	31.05.2021
28/2828	You are drunk!	http://opus.lingfil.uu.se/Tatoeba.php	64332	Tu es saoul !	https://tatoeba.org/en/sentences/show/589990	28.05.2021
29/0711	Accardo composed 24 Caprices.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	13	Accardo a composé 24 Caprices.		
29/2716	The girl is lonely.	http://opus.lingfil.uu.se/Tatoeba.php	44394	La fille est seule.	https://tatoeba.org/en/sentences/show/10053871	21.05.2021
29/2910	Why did Jane go to the station?	http://opus.lingfil.uu.se/Tatoeba.php	53846	Pourquoi Jane est-elle allée à la gare ? 	https://tatoeba.org/en/sentences/show/10053872	21.05.2021
30/0761	Texas Instruments produces mobile phones.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	155	Texas Instruments produit des téléphones portables.		
30/0839	He is a scientist.	http://opus.lingfil.uu.se/Tatoeba.php	294473	C'est un scientifique.	https://tatoeba.org/en/sentences/show/14480	21.05.2021
30/0889	This flag is very pretty.	http://opus.lingfil.uu.se/Tatoeba.php	707432	Ce drapeau est très joli.	https://tatoeba.org/en/sentences/show/2748696	28.05.2021
30/0895	The wounded were transported with an ambulance.	http://opus.lingfil.uu.se/Tatoeba.php	847370	Les blessés ont été transportés en ambulance.	https://tatoeba.org/en/sentences/show/10053867	21.05.2021
32/0930	Tom has a car.	http://opus.lingfil.uu.se/Tatoeba.php	1495910	Tom a une voiture.	https://tatoeba.org/en/sentences/show/1495977	21.05.2021
33/0764	The movie 'Speed' was directed by Jan De Bont.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	457/458	Le film 'speed' a été réalisé par Jan De Bont.		
34/0711	The rock group Spock's Beard comes from Japan.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	18	Le groupe de rock Spock's Beard vient du Japon.		
34/0764	The movie 'Speed' was directed by Jan De Bont.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	457/458	Le film 'speed' a été réalisé par Jan De Bont.		
34/0794	A sponge absorbs water.	http://opus.lingfil.uu.se/Tatoeba.php	51613	Une éponge absorbe l'eau.	https://tatoeba.org/en/sentences/show/11927	21.05.2021
34/0879	The water is not potable.	http://opus.lingfil.uu.se/Tatoeba.php	542090	L'eau n'est pas potable.	https://tatoeba.org/en/sentences/show/549076	21.05.2021
35/0856	Nobody is perfect.	http://opus.lingfil.uu.se/Tatoeba.php	358152	Personne n'est parfait.	https://tatoeba.org/en/sentences/show/381955	21.05.2021
35/0875	Everyone laughed at him.	http://opus.lingfil.uu.se/Tatoeba.php	489233	Tout le monde s'est moqué de lui.	https://tatoeba.org/en/sentences/show/10068755	28.05.2021
36/1882	I am 18 years old.	http://opus.lingfil.uu.se/Tatoeba.php	1103301	J'ai 18 ans.	https://tatoeba.org/en/sentences/show/10068757	28.05.2021
37/0776	Everybody laughed.	http://opus.lingfil.uu.se/Tatoeba.php	22132	Tout le monde a ri.	https://tatoeba.org/en/sentences/show/1664206	28.05.2021
39/0760	GUS sold Wehkamp.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	64	GUS a vendu Wehkamp.		
42/0712	André Henri Constant van Hasselt was educated in Maastricht.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	126	André Henri Constant van Hasselt a fait ces études à Maastricht.		
42/0765	Wolfgang Amadeus Mozart was born in Salzburg.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	566/567/562	Wolfgang Amadeus Mozart est né à Salzbourg.		
42/2000	The shirt needs ironing.	http://opus.lingfil.uu.se/Tatoeba.php	471483	Il faudrait repasser cette chemise.	https://tatoeba.org/en/sentences/show/10076131	31.05.2021
45/0867	The tea costs two euros.	http://opus.lingfil.uu.se/Tatoeba.php	462950	Le thé coûte deux euros.	https://tatoeba.org/en/sentences/show/698620	28.05.2021
46/0712	Ibrahim Sofu was murdered by Metin Kaplan.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	130	Ibrahim Sofu a été assassiné par Metin Kaplan.		
46/2924	The boy is speaking to his grandfather.	http://opus.lingfil.uu.se/Tatoeba.php	2809344	Le garçon parle à son grand-père.	https://tatoeba.org/en/sentences/show/2809357	21.05.2021
49/0765	Kanchenjunga is 8586 meters high.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	573	Le Kanchenjunga fait 8586 mètres de haut.		
51/0914	The policeman is wearing a gas mask.	http://opus.lingfil.uu.se/Tatoeba.php	1453881	Le policier porte un masque à gaz.	https://tatoeba.org/en/sentences/show/2809357	21.05.2021
54/0716	O.J. Simpson was accused of murder.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	538	O.J. Simpson a été accusé de meurtre.		
54/0864	Betty is a serial killer.	http://opus.lingfil.uu.se/Tatoeba.php	423490	Betty est une tueuse en série.	https://tatoeba.org/en/sentences/show/423494	21.05.2021
56/0912	I understand.	http://opus.lingfil.uu.se/Tatoeba.php	433468	Je comprends.	https://tatoeba.org/en/sentences/show/1511205	21.05.2021
57/0760	Jerry Reinsdorf has won 7 championships.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	82	Jerry Reinsdorf a remporté 7 championnats.		
59/0888	The door was not closed.	http://opus.lingfil.uu.se/Tatoeba.php	701818	La porte n'était pas fermée.	https://tatoeba.org/en/sentences/show/10053835	21.05.2021
61/0711	Spartan Air Lines acquired United Airways.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	45	Spartan Air Lines a racheté United Airways.		
61/0764	Vladislav Listyev was murdered in Moscow.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	498/499/500/485/486/487	Vladislav Listyev a été tué à Moscou.		
61/0780	The doctor examined the patients.	http://opus.lingfil.uu.se/Tatoeba.php	27999	Le docteur a examiné les patients.	https://tatoeba.org/en/sentences/show/10053829	21.05.2021
61/0826	An elephant has a long nose.	http://opus.lingfil.uu.se/Tatoeba.php	268258	Un éléphant a un long nez.	https://tatoeba.org/en/sentences/show/10053822	21.05.2021
61/0863	The money is on the table.	http://opus.lingfil.uu.se/Tatoeba.php	462824	L'argent est sur la table.	https://tatoeba.org/en/sentences/show/3466052	21.05.2021
63/2262	A dollar is equal to a hundred cents.	http://opus.lingfil.uu.se/Tatoeba.php	73213	Un dollar vaut cent cents.	https://tatoeba.org/en/sentences/show/10076141	31.05.2021
64/0712	Beverly worked for WEDCOR.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	148	Bervely travaillait pour WEDCOR.		
65/0811	My wife is suffering from pneumonia.	http://opus.lingfil.uu.se/Tatoeba.php	244142	Ma femme a une pneumonie.	https://tatoeba.org/en/sentences/show/10068763	28.05.2021
66/0715	Nikos Kourkoulos was a Greek actor.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	449/450/451	Nikos Kourkoulos était un acteur grec.		
66/0764	Klaus Pohl is a German dramatist.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	490	Klaus Pohl est un dramaturge allemand.		
66/2406	Ken is happy.	http://opus.lingfil.uu.se/Tatoeba.php	62478	Ken est content.	https://tatoeba.org/en/sentences/show/10053812	21.05.2021
67/0768	I'm thirsty.	http://opus.lingfil.uu.se/Tatoeba.php	1814	J'ai soif.	https://tatoeba.org/en/sentences/show/3636	21.05.2021
67/0917	Mary slapped Tom.	http://opus.lingfil.uu.se/Tatoeba.php	1397740	Mary a giflé Tom.	https://tatoeba.org/en/sentences/show/6468798	21.05.2021
68/0769	I ate caviar.	http://opus.lingfil.uu.se/Tatoeba.php	2413	J'ai mangé du caviar.	https://tatoeba.org/en/sentences/show/4290	21.05.2021
69/0867	It's snowing.	http://opus.lingfil.uu.se/Tatoeba.php	448963	Il neige.	https://tatoeba.org/en/sentences/show/373752	21.05.2021
72/0945	The bird flies.	http://opus.lingfil.uu.se/Tatoeba.php	2661918	L'oiseau vole.	https://tatoeba.org/en/sentences/show/8690216	21.05.2021
73/0760	Louis Riel assassinated Scott.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	98	Louis Riel a assassiné Scott.		
73/2412	This bucket leaks.	http://opus.lingfil.uu.se/Tatoeba.php	2259691	Ce seau fuit.	https://tatoeba.org/en/sentences/show/3595811	21.05.2021
75/0716	Pope John Paul II was born in Poland.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	559/561	Le pape Jean-Paul II est né en Pologne.		
75/0818	I'm a baker.	http://opus.lingfil.uu.se/Tatoeba.php	255449	Je suis boulanger.	https://tatoeba.org/en/sentences/show/6948	21.05.2021
75/0910	Queen Elizabeth I passed away in 1603.	http://opus.lingfil.uu.se/Tatoeba.php	65257	La reine Elizabeth I est morte en 1603.	https://tatoeba.org/en/sentences/show/10068534	28.05.2021
79/0760	Marlowe was arrested by Italian authorities.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	104	Marlowe a été arreté par les autorités italiennes.		
79/0763	Gianni Versace is a designer.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	403	Gianni Versace est un styliste.		
79/0767	Nobody understands me.	http://opus.lingfil.uu.se/Tatoeba.php	1484	Personne ne me comprend.	https://tatoeba.org/en/sentences/show/3299	21.05.2021
81/0711	Reinventing Comics is a book by Scott McCloud.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	65	Reinventing Comics est un livre de Scott McCloud.		
82/0716	Johann Wolfgang von Goethe was born in Germany.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	566	Johann Wolfgang von Goethe est né en Allemagne.		
82/1991	The surgeon amputated the wrong leg.	http://opus.lingfil.uu.se/Tatoeba.php	1883080	Le chirurgien a amputé la mauvaise jambe.	https://tatoeba.org/en/sentences/show/1883775	21.05.2021
82/2388	The wine was excellent.	http://opus.lingfil.uu.se/Tatoeba.php	2928721	Le vin était exellent.	https://tatoeba.org/en/sentences/show/2928713	21.05.2021
83/0814	My mother is beautiful.	http://opus.lingfil.uu.se/Tatoeba.php	250277	Ma mère est belle.	https://tatoeba.org/en/sentences/show/7853	21.05.2021
83/2406	We understand.	http://opus.lingfil.uu.se/Tatoeba.php	1893706	Nous comprenons.	https://tatoeba.org/en/sentences/show/1996498	21.05.2021
85/0712	Manchester United defeated Fulham.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	169	Manchester United a battu Fulham.		
85/0825	School begins at 8:30 a.m.	http://opus.lingfil.uu.se/Tatoeba.php	266228	L'école commence à 8h30.	https://tatoeba.org/en/sentences/show/10068766	28.05.2021
85/0889	I am Antonio.	http://opus.lingfil.uu.se/Tatoeba.php	716143	Je m'appelle Antonio.	https://tatoeba.org/en/sentences/show/10068767	28.05.2021
85/0893	A doctor examined Mr. Brown.	http://opus.lingfil.uu.se/Tatoeba.php	805322	Un docteur a examiné M. Brown.	https://tatoeba.org/en/sentences/show/10053786	21.05.2021
85/0940	Tom is strong.	http://opus.lingfil.uu.se/Tatoeba.php	2203405	Tom est fort.	https://tatoeba.org/en/sentences/show/2350779	21.05.2021
86/0717	BSN bought RJR Nabisco.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	670	BSN a acheté RJR Nabisco.		
86/0915	He drank a beer.	http://opus.lingfil.uu.se/Tatoeba.php	1358327	Il a bu une bière.	https://tatoeba.org/en/sentences/show/2534806	21.05.2021
86/2287	The pie is delicious.	http://opus.lingfil.uu.se/Tatoeba.php	452808	La tarte est délicieuse.	https://tatoeba.org/en/sentences/show/10053782	21.05.2021
87/0715	Qin Shi Huang was the first Emperor of China.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	471/472	Qin Shi Huang était le premier empereur de Chine.		
87/0760	Mr. Zhao died in Beijing.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	112	M. Zhao est mort à Pékin.		
87/0763	Gabriel Garcia Marquez is a writer.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	411	Gabriel Garcia Marquez est un écrivain.		
92/0712	Nancy Ianiero was killed in Mexico.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	176	Nancy Ianiero a été tuée à Mexico.		
92/0764	Verdens Gang is a Norwegian newspaper.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	516	Verdens Gang est un journal norvégien.		
93/1391	Who invented the radio?	http://clef-qa.fbk.eu/2004/resources.html		Qui a inventé la radio ?		
94/0760	Nelson Beavers worked for Eurofins.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	119	Nelson Beavers a travaillé pour Eurofins.		
94/0906	He was attacked by a shark.	http://opus.lingfil.uu.se/Tatoeba.php	1168378	Il a été attaqué par un requin.	https://tatoeba.org/en/sentences/show/10053777	21.05.2021
96/0785	Cats catch mice.	http://opus.lingfil.uu.se/Tatoeba.php	35814	Les chats attrapent des souris.	https://tatoeba.org/en/sentences/show/504225	21.05.2021
96/0802	A dolphin is a mammal.	http://opus.lingfil.uu.se/Tatoeba.php	65812	Un dauphin est un mammifère	https://tatoeba.org/en/sentences/show/1271734	21.05.2021
96/1684	She is happy.	http://opus.lingfil.uu.se/Tatoeba.php	313573	Elle est heureuse.	https://tatoeba.org/en/sentences/show/15601	21.05.2021
98/0794	John inherited a large fortune.	http://opus.lingfil.uu.se/Tatoeba.php	52528	John a hérité d'une grosse fortune.	https://tatoeba.org/en/sentences/show/15192	21.05.2021
99/0716	Stephen Hawking is a physicist.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	583	Stephen Hawking est un physicien.		
99/0794	John is good at mathematics.	http://opus.lingfil.uu.se/Tatoeba.php	52557	John est bon en mathématiques.	https://tatoeba.org/en/sentences/show/335108	21.05.2021
99/0879	He's my friend.	http://opus.lingfil.uu.se/Tatoeba.php	555114	C'est mon ami.	https://tatoeba.org/en/sentences/show/551908	21.05.2021
99/0911	The room was warm.	http://opus.lingfil.uu.se/Tatoeba.php	319577	Il faisait chaud dans la pièce.	https://tatoeba.org/en/sentences/show/10068769	28.05.2021